ds,yhat
2025-05-02,6930663.825918062
2025-05-03,7227961.727856582
2025-05-04,7903174.59587215
2025-05-05,5800642.131962396
2025-05-06,5449310.733585369
2025-05-07,5827363.169322347
2025-05-08,5608119.3669912405
2025-05-09,7857195.021551233
2025-05-10,8167769.993265256
2025-05-11,8839833.862711735
2025-05-12,6717674.70358408
2025-05-13,6330555.259177998
2025-05-14,6657336.581303372
2025-05-15,6372363.729199128
2025-05-16,8542600.629918726
2025-05-17,8762866.693183787
2025-05-18,9335043.380265377
2025-05-19,7105517.808203876
2025-05-20,6605808.754470844
2025-05-21,6817136.426590089
2025-05-22,6416251.990378427
2025-05-23,8472515.407534651
2025-05-24,8583075.637798522
2025-05-25,9052022.84207689
2025-05-26,6727781.040331363
2025-05-27,6143687.86183604
2025-05-28,6282523.8910539225
2025-05-29,5822308.579125426
2025-05-30,7833352.06024335
2025-05-31,7913417.510500169
